2023-12-01 00:16:57.995 | INFO     | scheduler.direction_update:checking_update:172 - Значительное уменьшение цены билета 2 - IZM Оповещение отправлено : 16.40805928670681 >= 10
2023-12-01 00:17:29.900 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:17:29.915 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:17:30.213 | INFO     | avia_bot.service:start_bot:36 - The bot is running!
2023-12-01 00:17:46.588 | INFO     | scheduler.direction_update:checking_update:172 - Значительное уменьшение цены билета 2 - BJV Оповещение отправлено : 11.62287814898908 >= 10
2023-12-01 00:18:15.862 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:18:15.881 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:18:16.197 | INFO     | avia_bot.service:start_bot:36 - The bot is running!
2023-12-01 00:18:56.213 | INFO     | scheduler.direction_update:checking_update:255 - Значительное увеличение цены билета 2 - IZM : 8636.0 > 7219.0 and 16.40805928670681 >= 10
2023-12-01 00:19:10.511 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:19:10.547 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:19:10.909 | INFO     | avia_bot.service:start_bot:36 - The bot is running!
2023-12-01 00:19:13.050 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 22258.0 and 44.92766645700422 >= 20
2023-12-01 00:19:42.376 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:19:42.416 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:19:43.397 | INFO     | avia_bot.service:start_bot:36 - The bot is running!
2023-12-01 00:19:54.729 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 22258.0 and 44.92766645700422 >= 20
2023-12-01 00:20:44.080 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:20:44.095 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:20:44.432 | INFO     | avia_bot.service:start_bot:48 - The bot is running!
2023-12-01 00:20:59.494 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:20:59.524 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:21:00.089 | INFO     | avia_bot.service:start_bot:48 - The bot is running!
